coreid,NDVI_R,NDVI_cv,ENDVI,ENDVI_cv,ENDVI_1mmI,day
45,0.2718187823583952,0.0791990340739532,0.24282062386109546,0.10063481330714398,0.11474487993093901,22
46,0.26259201493262924,0.07848258847077522,0.2361664405522072,0.10115965351361886,0.17653770186331766,22
47,0.2743664464268868,0.08057515056042189,0.24727450872349344,0.10023814522286097,0.15592175070922304,22
5,0.33807904123759497,0.07989791764360123,0.28960065573535493,0.10989729644331775,0.2323198148049646,22
50,0.3572030968600072,0.0702680762642372,0.30637662959877854,0.0807785823740024,0.11677991238745418,22
53,0.2783670375221351,0.07733419187029006,0.2450888854422995,0.10080978501046119,0.14881867869503118,22
56,0.2880089519296556,0.07249998380391955,0.25397230038848984,0.09063401462112737,0.11619151988937726,22
57,0.2822612308778507,0.08232794889171197,0.2433700758214418,0.11234117727006891,0.19134760337875736,22
59,0.2729393330913655,0.08037590193040199,0.2421083937550938,0.09421438442360239,0.09266531050842088,22
60,0.23619618612115154,0.08064388154907404,0.20943542659896006,0.11010572946614958,0.15012165654578769,22
63,0.27966586471960087,0.08941476548008541,0.24444935257116393,0.11224683498863662,0.1870435873996522,22
64,0.2470235383606194,0.07845705434725284,0.22105960417864662,0.1064986697016267,0.1760959797045651,22
65,0.2709048791535591,0.08639944450310715,0.24064613423285366,0.09662054842903066,0.15361174384158624,22
66,0.2740882608160445,0.07697114225302601,0.24465703766995936,0.0988177890385111,0.16449507085318837,22
67,0.24849610161850344,0.0903543570606289,0.22103075431725847,0.11736218808346699,0.18486150028514386,22
68,0.3321893132625666,0.07299598689171918,0.2807835482282636,0.09837845051244627,0.1767587298690014,22
69,0.2738830949032313,0.09514551208446716,0.23849398791823337,0.12604578930434301,0.20470798546304805,22
70,0.2588941330985419,0.07916561131686412,0.22915912274087405,0.10452566103747002,0.24184018991444312,22
72,0.28808060516662964,0.0772786423916409,0.25185400996049123,0.08873116538958076,0.09999249575465885,22
73,0.33456722671641514,0.0811694279438373,0.2769454409843377,0.10732534025112185,0.20898380650330653,22
74,0.253667295498285,0.08687134189966529,0.21722135991856423,0.1213760263543268,0.2059705840794022,22
75,0.2790325944714008,0.09748189679740132,0.23545216048401033,0.13361059158838237,0.2008217654720318,22
76,0.23572156406182274,0.09730006419453711,0.20198367118570607,0.1271572104055331,0.18324724124828679,22
77,0.26000006221062305,0.0823022089755628,0.23024022523184567,0.09527081124940034,0.15742962960772935,22
8,0.2775219703500595,0.0767166832351528,0.2436636781408239,0.0889058292793202,0.10690775367358286,22
80,0.24836963327681166,0.08297462529457225,0.223977732366126,0.10889475102451436,0.17718745632481758,22
81,0.26361403179622817,0.08124088398278961,0.2372563430299173,0.09018352475944973,0.07200339043038771,22
83,0.2577151915547348,0.06991402925780704,0.22930870530062702,0.08239769005606931,0.10201745513658854,22
86,0.3199370659697557,0.08748393274370261,0.272164055577011,0.10631148182013142,0.13911247096887994,22
87,0.3365822662085161,0.0766807215531677,0.287550698181699,0.10100454531099583,0.183840520941102,22
89,0.31029649411267735,0.09531355106428986,0.26916043445108623,0.11794555245887013,0.2401506594847745,22
9,0.350749265419788,0.05916115081221066,0.3092868909427511,0.08463104815466227,0.16725215477478583,22
90,0.24044583716889514,0.09090842726238828,0.20809753456306518,0.13128464245964352,0.20294979805316593,22
96,0.280567778641658,0.07969325564458293,0.24825651661826725,0.09920556095489654,0.16130170903822316,22
97,0.2710918349065962,0.07482620544022031,0.23503113416535956,0.11949234991794723,0.20357951628958906,22
99,0.30742358943018433,0.08323157342544074,0.26844740931820676,0.10093710322487634,0.11804243326211629,22
