lakeid,sta,sampledate,andate,coreid,top_bottom,species_name,head_size,head_size_units_to_mm,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,5,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,5,0,tp,25,55,,
myv,33,2013-06-22,2013-06-24,5,0,tp,24,55,,
myv,33,2013-06-22,2013-06-24,5,1,ch,33,55,,
myv,33,2013-06-22,2013-06-24,5,1,ch,31,55,,
myv,33,2013-06-22,2013-06-24,5,1,ch,26,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,6,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,9,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,4,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,10,55,,
myv,33,2013-06-29,2013-06-30,1,0,ch,5,55,,
