day,body_size,bootstrap,algae_conc2,wt,nt,wt_day0,nt_day0,Pd,g,gd
14,3.117806905370844,2,0.25,0.032234922880973516,13.5,0.026115091946243105,17.666666666666668,0.00681195467139635,0.006119830934730411,4.371307810521722e-4
14,3.255541346973572,2,0.5,0.03605542281467777,12,0.026115091946243105,17.666666666666668,0.01053201722965102,0.009940330868434669,7.100236334596192e-4
14,3.5322921903804256,2,1,0.04462120173232421,19.5,0.026115091946243105,17.666666666666668,0.024564657632714797,0.018506109786081103,0.0013218649847200788
22,3.3674428104575163,2,0.002,0.0393727838360094,10.333333333333334,0.026115091946243105,17.666666666666668,0.008436713020760371,0.013257691889766297,6.026223586257408e-4
22,3.3213141025641026,2,0.00390625,0.03798168174734076,9,0.026115091946243105,17.666666666666668,0.007191872606725853,0.011866589801097657,5.39390445504439e-4
22,3.1827731092436973,2,0.0078125,0.034001440840597336,7.333333333333333,0.026115091946243105,17.666666666666668,0.004480880053610359,0.007886348894354231,3.5847040428882865e-4
22,3.3452277970011535,2,0.015625,0.03869868185144933,11.666666666666666,0.026115091946243105,17.666666666666668,0.008389059936804154,0.012583589905206229,5.719813593275558e-4
22,2.9128634212305613,2,0.03125,0.027065039730565402,10,0.026115091946243105,17.666666666666668,5.97315652263263e-4,9.499477843222977e-4,4.317944474192262e-5
22,3.3404282765737876,2,0.0625,0.03855406120405359,13.333333333333334,0.026115091946243105,17.666666666666668,0.008763819249821022,0.012438969257810482,5.654076935368401e-4
22,3.1967138707334786,2,0.125,0.034388731046188614,10,0.026115091946243105,17.666666666666668,0.005202363979511192,0.00827363909994551,3.760745045429777e-4
22,3.4302325581395348,2,0.25,0.041320338659731254,14.333333333333334,0.026115091946243105,17.666666666666668,0.011058361246173199,0.01520524671348815,6.911475778858249e-4
22,3.802521008403361,2,0.5,0.05419966450707616,14.666666666666666,0.026115091946243105,17.666666666666668,0.020637905593945505,0.028084572560833056,0.0012765714800378662
22,3.7320261437908497,2,1,0.05158066799742277,14.666666666666666,0.026115091946243105,17.666666666666668,0.01871333997700324,0.02546557605117967,0.0011575261841445304
14,2.7488425925925926,3,0.002,0.023350313873836452,9,0.02064708606284872,17.666666666666668,0.0025745026771311725,0.002703227810987731,1.9308770078483792e-4
14,2.6792279411764706,3,0.00390625,0.021882486298029896,8,0.02064708606284872,17.666666666666668,0.001132450215582743,0.0012354002351811742,8.824287394151245e-5
14,2.921462063086104,3,0.0078125,0.027269953871354953,12,0.02064708606284872,17.666666666666668,0.007017086130441127,0.006622867808506232,4.730619863218737e-4
14,2.80171568627451,3,0.015625,0.02450797801556144,14,0.02064708606284872,17.666666666666668,0.004366484946520337,0.0038608919527127195,2.757779966223371e-4
14,2.8218954248366015,3,0.03125,0.024959709157752696,8,0.02064708606284872,17.666666666666668,0.003953237836995311,0.004312623094903975,3.0804450677885536e-4
14,2.9622395833333335,3,0.0625,0.028255814002604122,9,0.02064708606284872,17.666666666666668,0.0072464075616718105,0.007608727939755401,5.434805671253858e-4
14,3.088235294117647,3,0.125,0.03145152158322989,12.5,0.02064708606284872,17.666666666666668,0.011640493030886856,0.01080443552038117,7.717453943129407e-4
14,3.095161977834612,3,0.25,0.0316338694489526,13.5,0.02064708606284872,17.666666666666668,0.012229336269056102,0.010986783386103878,7.847702418645627e-4
14,3.265132139812447,3,0.5,0.03633215062929096,12,0.02064708606284872,17.666666666666668,0.016618699362063803,0.01568506456644224,0.0011203617547458741
14,3.589481732864086,3,1,0.046545452177780805,19.5,0.02064708606284872,17.666666666666668,0.03437699787874914,0.025898366114932084,0.0018498832939237203
22,3.1801470588235294,3,0.002,0.033928813201488967,10.333333333333334,0.02064708606284872,17.666666666666668,0.008452008179134702,0.013281727138640245,6.03714869938193e-4
22,3.2659313725490193,3,0.00390625,0.0363552749817683,9,0.02064708606284872,17.666666666666668,0.009520114496314895,0.015708188918919577,7.140085872236172e-4
22,3.143674136321195,3,0.0078125,0.03293076421344798,7.333333333333333,0.02064708606284872,17.666666666666668,0.006979362585567763,0.012283678150599261,5.58349006845421e-4
22,3.207900807381776,3,0.015625,0.034701635197500046,11.666666666666666,0.02064708606284872,17.666666666666668,0.009369699423100885,0.014054549134651324,6.388431424841512e-4
22,3.1503549695740367,3,0.03125,0.033112094661749275,10,0.02064708606284872,17.666666666666668,0.007837846315975349,0.012465008598900554,5.665912999500252e-4
22,3.293343653250774,3,0.0625,0.03715435194709091,13.333333333333334,0.02064708606284872,17.666666666666668,0.011630119145716085,0.016507265884242187,7.503302674655539e-4
22,3.448620188816267,3,0.125,0.04190258569129163,10,0.02064708606284872,17.666666666666668,0.01336520052394516,0.021255499628442906,9.661590740201321e-4
22,3.4370725034199725,3,0.25,0.041536292232653246,14.333333333333334,0.02064708606284872,17.666666666666668,0.015192149941676019,0.020889206169804525,9.495093713547512e-4
22,3.875272331154684,3,0.5,0.05699392392178932,14.666666666666666,0.02064708606284872,17.666666666666668,0.026709418729676047,0.0363468378589406,0.001652128993588209
22,3.5359477124183005,3,1,0.04474258172001249,14.666666666666666,0.02064708606284872,17.666666666666668,0.017706538475340042,0.02409549565716377,0.0010952498025983532
14,2.741013071895425,4,0.002,0.023182048666009227,9,0.02312140142923563,17.666666666666668,5.7759273117712135e-5,6.0647236773597735e-5,4.33194548382841e-6
14,2.771905637254902,4,0.00390625,0.02385069229408569,8,0.02312140142923563,17.666666666666668,6.685166261125551e-4,7.292908648500601e-4,5.209220463214715e-5
14,2.910272804774084,4,0.0078125,0.027003504627327132,12,0.02312140142923563,17.666666666666668,0.0041131807694064736,0.003882103198091503,2.772930855779645e-4
14,2.9544117647058825,4,0.015625,0.028064751864005595,14,0.02312140142923563,17.666666666666668,0.005590693944085081,0.004943350434769966,3.530964596264261e-4
14,2.795343137254902,4,0.03125,0.024366466906270916,8,0.02312140142923563,17.666666666666668,0.001141310020615679,0.0012450654770352863,8.89332483596633e-5
14,3.0886182598039214,4,0.0625,0.031461584968056594,9,0.02312140142923563,17.666666666666668,0.007943031941734253,0.008340183538820965,5.957273956300689e-4
14,3.130392156862745,4,0.125,0.0325722349153821,12.5,0.02312140142923563,17.666666666666668,0.010182147982098284,0.009450833486146473,6.750595347247481e-4
14,3.0610613810741687,4,0.25,0.030742924095745243,13.5,0.02312140142923563,17.666666666666668,0.008483480587126772,0.0076215226665096135,5.443944761792582e-4
14,3.1228687127024726,4,0.5,0.03237030890971722,12,0.02312140142923563,17.666666666666668,0.009799437687653113,0.00924890748048159,6.606362486058278e-4
14,3.4506975867269984,4,1,0.041968708608158156,19.5,0.02312140142923563,17.666666666666668,0.025017556552974548,0.018847307178922527,0.0013462362270658947
