sampledate,falc_id,tray_weight,vol,ww_tray,dw_tray,comb_tray,ww,dw,comb,org,percentorg,comments
2017-08-06,42,1173.5,1,9528.7,8355.2,1247.6,1231,74.1,57.5,16.6,22.40215924,
2017-08-06,45,1147.4,1,7442.9,6295.5,1231.5,1212.7,84.1,65.3,18.8,22.35434007,
2017-08-06,46,1156.9,1,6328.5,5171.6,1235.3,1217.7,78.4,60.8,17.6,22.44897959,
2017-08-06,47,1154.6,1,8103.1,6948.5,1261.1,1238.6,106.5,84,22.5,21.12676056,
2017-08-06,48,1161.2,1,6450.1,5288.9,1247,1229.5,85.8,68.3,17.5,20.3962704,
2017-08-06,49,1140.6,1,7563.7,6423.1,1228.3,1208.8,87.7,68.2,19.5,22.23489168,
2017-08-06,50,1141.5,1,6138.8,4997.3,1220,1202.1,78.5,60.6,17.9,22.80254777,
2017-08-06,51,1140.7,1,5784,4643.3,1211.5,1195.2,70.8,54.5,16.3,23.02259887,
2017-08-06,52,1149.3,1,6271.9,5122.6,1232.7,1213.5,83.4,64.2,19.2,23.02158273,
2017-08-06,53,1131,1,10892.6,9761.6,1232.9,1229.1,101.9,98.1,3.8,3.729146222,
2017-08-06,54,1158.8,1,11592.2,10433.4,1258.1,1253.1,99.3,94.3,5,5.035246727,
2017-08-07,55,1143.6,1,4258.5,3114.9,1222.8,1204.8,79.2,61.2,18,22.72727273,
2017-08-07,56,1158.3,1,9230.3,8072,1292.7,1262,134.4,103.7,30.7,22.8422619,
2017-08-07,57,1118.5,1,5795.5,4677,1201.4,1182,82.9,63.5,19.4,23.40168878,
2017-08-07,58,1136.8,1,7517.5,6380.7,1261.4,1233.2,124.6,96.4,28.2,22.63242376,
2017-08-07,59,1131.9,1,7492.9,6361,1240.4,1215.3,108.5,83.4,25.1,23.13364055,
2017-08-07,60,1157.9,1,6809.3,5651.4,1266.8,1245,108.9,87.1,21.8,20.01836547,
2017-08-07,61,1141.8,1,5773.4,4631.6,1205.2,1190.5,63.4,48.7,14.7,23.18611987,
2017-08-07,62,1151.5,1,3258.1,2106.6,1205,1192.7,53.5,41.2,12.3,22.99065421,
2017-08-07,63,1154.2,1,11701.7,10547.5,1320,1283,165.8,128.8,37,22.31604343,
2017-08-07,64,1145.7,1,3702.2,2556.5,1194.6,1183.3,48.9,37.6,11.3,23.10838446,
2017-08-07,65,1156.3,1,6484.9,5328.6,1234,1217.2,77.7,60.9,16.8,21.62162162,
2017-08-07,66,1127.7,1,8204.8,7077.1,1279.1,1245.6,151.4,117.9,33.5,22.12681638,
2017-08-07,67,1148.1,1,9517.1,8369,1279.3,1249.5,131.2,101.4,29.8,22.71341463,
2017-08-07,68,1162.4,1,5287.7,4125.3,1213,1201.5,50.6,39.1,11.5,22.72727273,
2017-08-07,69,1151.9,1,9166.1,8014.2,1303.2,1270.3,151.3,118.4,32.9,21.74487773,
2017-08-07,70,1150.3,1,6459.4,5309.1,1245.2,1224,94.9,73.7,21.2,22.33930453,
2017-08-07,71,1164.5,1,6508.8,5344.3,1259.8,1238.6,95.3,74.1,21.2,22.2455404,
2017-08-07,72,1164,1,6538.7,5374.7,1220.5,1206.8,56.5,42.8,13.7,24.24778761,
