sampledate,Time,hour,temp,lux,time
6/15/13,10:00,10,NA,132267.5,10.00
6/15/13,10:15,10,NA,137778.7,10.25
6/15/13,10:30,10,NA,220445.9,10.50
6/15/13,10:45,10,NA,187379,10.75
6/15/13,11:00,11,NA,198401.3,11.00
6/15/13,11:15,11,NA,57867,11.25
6/15/13,11:30,11,NA,209423.6,11.50
6/15/13,11:45,11,NA,231468.2,11.75
6/15/13,12:00,12,NA,154312.1,12.00
6/15/13,12:15,12,NA,143289.8,12.25
6/15/13,12:30,12,NA,88178.4,12.50
6/15/13,12:45,12,NA,198401.3,12.75
6/15/13,13:00,13,NA,85422.8,13.00
6/15/13,13:15,13,NA,99200.7,13.25
6/15/13,13:30,13,NA,104711.8,13.50
6/15/13,13:45,13,NA,82667.2,13.75
6/15/13,14:00,14,NA,126756.4,14.00
6/15/13,14:15,14,NA,82667.2,14.25
6/15/13,14:30,14,NA,82667.2,14.50
6/15/13,14:45,14,NA,74400.5,14.75
6/15/13,15:00,15,NA,71644.9,15.00
6/15/13,15:15,15,NA,66133.8,15.25
6/15/13,15:30,15,NA,57867,15.50
6/15/13,15:45,15,NA,49600.3,15.75
6/15/13,16:00,16,NA,44089.2,16.00
6/15/13,16:15,16,NA,55111.5,16.25
6/15/13,16:30,16,NA,30311.3,16.50
6/15/13,16:45,16,NA,63378.2,16.75
6/15/13,17:00,17,NA,49600.3,17.00
6/15/13,17:15,17,NA,35822.5,17.25
6/15/13,17:30,17,NA,27555.7,17.50
6/15/13,17:45,17,NA,28933.5,17.75
6/15/13,18:00,18,NA,38578,18.00
6/15/13,18:15,18,NA,24800.2,18.25
6/15/13,18:30,18,NA,24800.2,18.50
6/15/13,18:45,18,NA,17911.2,18.75
6/15/13,19:00,19,NA,24800.2,19.00
6/15/13,19:15,19,NA,30311.3,19.25
6/15/13,19:30,19,NA,11711.2,19.50
6/15/13,19:45,19,NA,10677.8,19.75
6/15/13,20:00,20,NA,9644.5,20.00
6/15/13,20:15,20,NA,12400.1,20.25
6/15/13,20:30,20,NA,8266.7,20.50
6/15/13,20:45,20,NA,10677.8,20.75
6/15/13,21:00,21,NA,7577.8,21.00
6/15/13,21:15,21,NA,11711.2,21.25
6/15/13,21:30,21,NA,8611.2,21.50
6/15/13,21:45,21,NA,4994.5,21.75
6/15/13,22:00,22,NA,5166.7,22.00
6/15/13,22:15,22,NA,3788.9,22.25
6/15/13,22:30,22,NA,3272.2,22.50
6/15/13,22:45,22,NA,3272.2,22.75
6/15/13,23:00,23,NA,2669.5,23.00
6/15/13,23:15,23,NA,1722.2,23.25
6/15/13,23:30,23,NA,1194.8,23.50
6/15/13,23:45,23,NA,979.5,23.75
6/16/13,0:00,0,NA,1076.4,0.00
6/16/13,0:15,0,NA,505.9,0.25
6/16/13,0:30,0,NA,387.5,0.50
6/16/13,0:45,0,NA,290.6,0.75
6/16/13,1:00,1,NA,290.6,1.00
6/16/13,1:15,1,NA,236.8,1.25
6/16/13,1:30,1,NA,258.3,1.50
6/16/13,1:45,1,NA,322.9,1.75
